Make,Model,Year,Trim,Trim (description),Condition type,Base MSRP,Price,Colors exterior,Colors interior,Body type,Doors,Body seats,VIN,Mileage,Cylinders,Engine size (L),Horsepower (HP),Torque (ft-lbs),Torque (rpm),Drive terrain,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),EPA combined MPG,EPA city MPG,EPA highway MPG,EPA electricity range (mi),EPA time to charge battery (at 240V) (hr),Battery capacity (kWh),Source JSON,Source URL,Source Name,Title status,Image URL,Region,State,Accidents reported,Owner,Rental use?,Date captured,Date added,Date modified,Days on market,Listing year
Land,Rover Range Rover Sport 3.0 Supercharged,2021,HST,Unknown,Used,Unknown,73897,Fuji White,Pimento / Ebony,Utility,Unknown,Unknown,Unknown,27608,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aston,Martin DBS,2019,Superleggera,Unknown,Used,Unknown,184606,Silver,Black,Utility,Unknown,Unknown,Unknown,22770,C,12,715.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Toyota,Supra 3.0,2021,Premium,Unknown,Used,Unknown,53500,Yellow,Black,Utility,Unknown,Unknown,Unknown,12500,6,Straight,382.0,Unknown,Unknown,Unknown,Automatic,Cylinder,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lincoln,Aviator Reserve,2022,AWD,Unknown,Used,Unknown,62000,Black,Brown,Utility,Unknown,Unknown,Unknown,18196,C,V6,400.0,Unknown,Unknown,Unknown,Manual,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jaguar,,2020,Unknown,Unknown,Used,Unknown,47998,Silver,Black,Utility,Unknown,Unknown,Unknown,15903,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Land,Rover LR4,2013,HSE,Unknown,Used,Unknown,29990,White,Black,Utility,Unknown,Unknown,Unknown,79800,C,8,375.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mercedes-Benz,Metris,2021,Base,Unknown,Used,Unknown,250000,Gray,White,Utility,Unknown,Unknown,Unknown,1685,G,16V,2.0L,Unknown,Unknown,Unknown,Manual,DOHC,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Dodge,Challenger,2013,SXT,Unknown,Used,Unknown,16800,Black,Gray,Utility,Unknown,Unknown,Unknown,61074,C,V6,305.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nissan,350Z,2003,Enthusiast,Unknown,Used,Unknown,11000,Purple,–,Utility,Unknown,Unknown,Unknown,74000,C,V6,287.0,Unknown,Unknown,Unknown,Manual,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jaguar,F-TYPE,2018,R,Unknown,Used,Unknown,68750,Green,Black,Utility,Unknown,Unknown,Unknown,35250,C,8,550.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Genesis,GV70 3.5T,2023,Sport,Unknown,Used,Unknown,60000,Green,Beige,Utility,Unknown,Unknown,Unknown,5400,C,V6,375.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chevrolet,S-10,2000,LS,Unknown,Used,Unknown,4500,Blue,Black,Utility,Unknown,Unknown,Unknown,133510,C,4,120.0,Unknown,Unknown,Unknown,Automatic,Engine,E85 Flex Fuel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BMW,440 Gran Coupe 440i,2020,xDrive,Unknown,Used,Unknown,38598,White,Beige,Utility,Unknown,Unknown,Unknown,25990,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ford,F-150,2023,XLT,Unknown,Used,Unknown,58504,Iconic Silver Metallic,Black,Utility,Unknown,Unknown,Unknown,2823,P,24V,3.5L,Unknown,Unknown,Unknown,Manual,DOHC,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chevrolet,Suburban,2021,RST,Unknown,Used,Unknown,61000,Blue,Black,Utility,Unknown,Unknown,Unknown,52000,C,8,355.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hyundai,Elantra N,2022,Base,Unknown,Used,Unknown,32300,Black,Black,Utility,Unknown,Unknown,Unknown,11650,C,4,276.0,Unknown,Unknown,Unknown,Manual,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nissan,Sentra,2016,SR,Unknown,Used,Unknown,13998,Blue,Black,Utility,Unknown,Unknown,Unknown,96541,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mercedes-Benz,AMG CLA 45 Base,2021,4MATIC,Unknown,Used,Unknown,59995,Gray,Black,Utility,Unknown,Unknown,Unknown,17500,C,4,382.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BMW,650 Gran Coupe i,2015,xDrive,Unknown,Used,Unknown,25700,Gray,Black,Utility,Unknown,Unknown,Unknown,69000,C,8,445.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Audi,Q5 2.0T Premium,2017,Plus,Unknown,Used,Unknown,21375,Mythos Black Metallic,Black,Utility,Unknown,Unknown,Unknown,81880,G,16V,2.0L,Unknown,Unknown,Unknown,Manual,DOHC,E85 Flex Fuel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mercedes-Benz,AMG C 43 Base,2018,4MATIC,Unknown,Used,Unknown,48000,Silver,Black,Utility,Unknown,Unknown,Unknown,28800,C,V6,362.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Dodge,Ram 1500 Laramie Mega,2006,Cab,Unknown,Used,Unknown,10900,Silver,Gray,Utility,Unknown,Unknown,Unknown,300183,C,8,345.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BMW,i3 120Ah w/Range,2020,Extender,Unknown,Used,Unknown,24998,Black,Black,Utility,Unknown,Unknown,Unknown,35035,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kia,Sorento,2011,SX,Unknown,Used,Unknown,5999,Black,Black,Utility,Unknown,Unknown,Unknown,171000,C,V6,276.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lexus,LX 570,2016,Base,Unknown,Used,Unknown,46900,Black,Beige,Utility,Unknown,Unknown,Unknown,118700,C,8,383.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jeep,New Compass,2017,Trailhawk,Unknown,Used,Unknown,15900,Red,Black,Utility,Unknown,Unknown,Unknown,119000,C,4,180.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BMW,340,2018,i,Unknown,Used,Unknown,33598,Gray,Black,Utility,Unknown,Unknown,Unknown,44261,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Audi,A4 2.0T Premium Plus,2012,quattro,Unknown,Used,Unknown,8999,Silver,Black,Utility,Unknown,Unknown,Unknown,125575,C,4,211.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hyundai,Tucson,2007,SE,Unknown,Used,Unknown,8200,Gold,Beige,Utility,Unknown,Unknown,Unknown,16200,C,V6,173.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BMW,Z4,2014,sDrive28i,Unknown,Used,Unknown,20000,White,Beige,Utility,Unknown,Unknown,Unknown,70000,C,4,240.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bentley,Continental GTC,2011,Base,Unknown,Used,Unknown,79950,Black,Black,Utility,Unknown,Unknown,Unknown,20200,C,12,552.0,Unknown,Unknown,Unknown,Automatic,Engine,E85 Flex Fuel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Honda,Passport,2023,Elite,Unknown,Used,Unknown,45498,Lunar Silver Metallic,Gray,Utility,Unknown,Unknown,Unknown,2978,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Dodge,Sprinter,2007,2500,Unknown,Used,Unknown,14000,White,Gray,Utility,Unknown,Unknown,Unknown,189719,E,Cylinder,3.0L,Unknown,Unknown,Unknown,Automatic,Diesel,Diesel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BMW,M850 i,2019,xDrive,Unknown,Used,Unknown,75798,Blue,Black,Utility,Unknown,Unknown,Unknown,9949,T,DOHC,4.4,Unknown,Unknown,Unknown,Manual,Turbo,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Lucid,Air Grand,2022,Touring,Unknown,Used,Unknown,119999,Red,Beige,Utility,Unknown,Unknown,Unknown,3552,E,Motor,536.0,Unknown,Unknown,Unknown,Automatic,Fuel,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Audi,A7,2012,Premium,Unknown,Used,Unknown,36880,Black,Brown,Utility,Unknown,Unknown,Unknown,54000,C,V6,310.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chevrolet,Silverado 1500 Custom Trail,2021,Boss,Unknown,Used,Unknown,43147,Black,Jet Black,Utility,Unknown,Unknown,Unknown,51351,G,16V,5.3L,Unknown,Unknown,Unknown,Manual,OHV,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MINI,Convertible John Cooper,2017,Works,Unknown,Used,Unknown,29000,Black,Black,Utility,Unknown,Unknown,Unknown,24280,C,4,228.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Toyota,Avalon,2016,Touring,Unknown,Used,Unknown,17500,Black,Black,Utility,Unknown,Unknown,Unknown,89148,C,V6,268.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Porsche,Cayenne Platinum,2017,Edition,Unknown,Used,Unknown,30990,White,Black,Utility,Unknown,Unknown,Unknown,73043,C,V6,300.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mercedes-Benz,AMG C 63,2017,S,Unknown,Used,Unknown,52500,Gray,Black,Utility,Unknown,Unknown,Unknown,60000,C,8,503.0,Unknown,Unknown,Unknown,Manual,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Honda,CR-V,2016,EX-L,Unknown,Used,Unknown,20848,Mountain Air Metallic,Black,Utility,Unknown,Unknown,Unknown,73549,G,16V,2.4L,Unknown,Unknown,Unknown,Manual,DOHC,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hummer,H2,2005,Base,Unknown,Used,Unknown,19500,Gray,Black,Utility,Unknown,Unknown,Unknown,110900,C,8,325.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Porsche,911 Carrera,2013,S,Unknown,Used,Unknown,73000,Blue,Black,Utility,Unknown,Unknown,Unknown,39000,6,Flat,400.0,Unknown,Unknown,Unknown,Automatic,Cylinder,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mercedes-Benz,CLA-Class CLA,2016,250,Unknown,Used,Unknown,19800,Black,Black,Utility,Unknown,Unknown,Unknown,120000,C,4,208.0,Unknown,Unknown,Unknown,Manual,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chrysler,300,2009,Touring,Unknown,Used,Unknown,7500,Blue,Black,Utility,Unknown,Unknown,Unknown,134602,C,V6,250.0,Unknown,Unknown,Unknown,Manual,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nissan,Rogue,2023,SV,Unknown,Used,Unknown,30999,Caspian Blue,Light Gray,Utility,Unknown,Unknown,Unknown,1094,G,12V,1.5L,Unknown,Unknown,Unknown,Manual,DOHC,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Audi,A3,2010,2.0T,Unknown,Used,Unknown,6500,Silver,Black,Utility,Unknown,Unknown,Unknown,83500,C,4,200.0,Unknown,Unknown,Unknown,Manual,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ford,Mustang GT,2014,Premium,Unknown,Used,Unknown,28500,Black,Black,Utility,Unknown,Unknown,Unknown,37060,C,8,420.0,Unknown,Unknown,Unknown,Manual,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Acura,RL,2010,Technology,Unknown,Used,Unknown,10995,Blue,Beige,Utility,Unknown,Unknown,Unknown,97700,C,V6,300.0,Unknown,Unknown,Unknown,Manual,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Volvo,XC90 Hybrid T8,2018,R-Design,Unknown,Used,Unknown,42000,Black,Black,Utility,Unknown,Unknown,Unknown,40000,C,4,400.0,Unknown,Unknown,Unknown,Manual,Engine,Plug-In Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Audi,R8 5.2,2018,V10,Unknown,Used,Unknown,144900,Tango Red Metallic,Black,Utility,Unknown,Unknown,Unknown,8940,P,40V,5.2L,Unknown,Unknown,Unknown,Manual,DOHC,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Mercedes-Benz,GLK-Class GLK,2014,350,Unknown,Used,Unknown,10000,Black,Beige,Utility,Unknown,Unknown,Unknown,186000,C,V6,302.0,Unknown,Unknown,Unknown,Automatic,Engine,Gasoline,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clean title,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
